iteracion_bayesiana,E1000_c,E1002_c,E5001_c,E5002_c,E5003_c,E5005_c,E5007_c,E5008_c,E5009_c,E5010_c,E5011_c,E5012_c,E5013_c,E5014_c,E5015_c,E5016_c,E5017_c,E5018_c,E5019_c,E5020_c,E5021_c,E5022_c,E5023_c,E5024_c,E5025_c,E5026_c,E5027_c,E5028_c,E5029_c,E5030_c,E5031_c,E5032_c,E5033_c,E5034_c,E5035_c,E5037_c,E5038_c,E5040_c,E1001_a,E1002_a,E1004_a,E1005_a,E1006_a,E1007_a,E1010_a,E1011_a,E1012_a,E1013_a,E1014_a,E1015_a,E1016_a,E1017_a
109,5440000,5400000,4773750,4745000,,,,,6013750,,,,,5598750,5496250,5496250,,,5213750,5812500,5587500,5412500,5228750,4848750,6545000,6081250,5530000,,,5355000,,6026250,6197500,5385000,,,,,,4776250,5371250,5577500,4901250,5855000,6336250,4682500,5723750,5611250,5221250,5907500,6910000,6143750
110,4941250,4697500,5276250,4777500,,,,,6197500,,,,,6085000,6162500,6162500,,,5488750,5825000,5508750,5218750,5243750,4783750,6382500,6276250,5555000,,,5818750,,6301250,5851250,6051250,,,,,,4766250,6177500,5027500,5133750,5810000,6020000,5275000,5516250,5683750,5588750,5580000,6751250,5671250
111,4701250,5422500,5676250,5373750,,,,,6393750,,,,,6221250,6200000,6200000,,,5830000,5271250,5206250,5335000,5268750,4805000,6237500,5642500,6016250,,,6146250,,5722500,6298750,5356250,,,,,,4593750,5201250,5276250,4775000,6061250,5982500,4606250,5523750,5911250,5483750,6021250,6876250,6243750
112,5030000,5367500,4676250,5042500,,,,,6347500,,,,,5936250,6201250,6201250,,,5890000,5680000,5870000,4947500,5618750,5091250,6527500,6163750,6743750,,,6003750,,6193750,5760000,6437500,,,,,,4411250,4857500,4907500,5413750,5721250,6052500,5572500,5852500,5423750,5523750,5928750,5993750,6125000
113,5512500,5766250,4105000,4772500,,,,,6241250,,,,,5920000,5632500,5632500,,,5528750,5241250,5358750,5060000,5297500,4747500,6312500,,6370000,,,6106250,,6301250,6168750,6102500,,,,,,4746250,5125000,5467500,"6,00E+06",5453750,6296250,5120000,5796250,5851250,6035000,5826250,6842500,5955000
114,5090000,4546250,5360000,4380000,,,,,6457500,,,,,6132500,5633750,5633750,,,5463750,5583750,5401250,5538750,5132500,4801250,6142500,,6200000,,,6572500,,6067500,6560000,6357500,,,,,,4691250,5112500,5500000,4508750,5648750,5861250,5201250,5583750,5745000,5917500,6333750,6505000,6258750
115,5231250,4703750,5478750,4921250,,,,,5853750,,,,,5778750,5787500,5787500,,,5060000,5066250,5690000,5360000,5363750,5118750,6487500,,6422500,,,6603750,,5976250,5992500,6065000,,,,,,4806250,5090000,5122500,5077500,5922500,6203750,5161250,5810000,5518750,5967500,5677500,6592500,6122500
116,4491250,5667500,4797500,5153750,,,,,6423750,,,,,5882500,5910000,5910000,,,5246250,5473750,5546250,4957500,4933750,5613750,6547500,,6052500,,,6105000,,5901250,5695000,5757500,,,,,,4441250,5690000,5251250,4987500,6138750,5922500,4953750,5775000,5468750,5792500,5965000,6745000,5857500
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5986250,,,,,,,,4867500,4926250,5917500,,,,,,,,5977500
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180000,,,,,,,,4713750,5395000,5832500,,,,,,,,6162500
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5460000,,,,,,,,5026250,4908750,5777500,,,,,,,,6076250
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6053750,,,,,,,,5310000,4963750,5758750,,,,,,,,6141250
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5825000,,,,,,,,5415000,5033750,5720000,,,,,,,,6352500
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6042500,,,,,,,,5518750,4602500,5837500,,,,,,,,5662500
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6063750,,,,,,,,4820000,5350000,5745000,,,,,,,,6566250
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243750,,,,,,,,4792500,4916250,5782500,,,,,,,,5678750
